Gene name,ensembl_gene_id,target_id,pval,qval,b,Log2
Mgst1,ENSMUSG00000008540,ENSMUST00000140932.1,0.0002121151,0.0075310801,-0.6450135394,-0.9305578346
Cpt2,ENSMUSG00000028607,ENSMUST00000030345.14,0.0011245673,0.0278242424,-0.6454520811,-0.9311905166
Stk38l,ENSMUSG00000001630,ENSMUST00000001675.13,6.4525106072524E-05,0.0028820307,-0.6463197654,-0.9324423204
Inpp5a,ENSMUSG00000025477,ENSMUST00000106098.7,2.42349420248159E-07,2.55688124648509E-05,-0.6470461376,-0.933490254
Tpm3,ENSMUSG00000027940,ENSMUST00000121503.7,2.33031615457612E-06,0.0001768536,-0.6471031909,-0.9335725645
Tnnt3,ENSMUSG00000061723,ENSMUST00000209807.1,0.0002862057,0.009463207,-0.6476879691,-0.9344162211
Casq1,ENSMUSG00000007122,ENSMUST00000003554.10,0.0018730914,0.0412363541,-0.6483905387,-0.9354298148
Ppargc1b,ENSMUSG00000033871,ENSMUST00000075299.12,0.0003134362,0.0101241802,-0.6495310817,-0.9370752704
Enpep,ENSMUSG00000028024,ENSMUST00000029658.13,0.0005466167,0.0157797976,-0.6504966758,-0.9384683283
Ndufa10,ENSMUSG00000026260,ENSMUST00000027478.6,1.8524451440943E-05,0.0010307729,-0.6507922732,-0.9388947852
Smim14,ENSMUSG00000037822,ENSMUST00000139122.7,2.13658596818886E-06,0.000164031,-0.6508612675,-0.938994323
Ndufb10,ENSMUSG00000040048,ENSMUST00000045602.8,5.1059960249606E-07,4.78725535274757E-05,-0.6510376673,-0.9392488141
Mrm2,ENSMUSG00000029557,ENSMUST00000031536.7,0.0002117011,0.0075214234,-0.6519385708,-0.9405485431
Lrp6,ENSMUSG00000030201,ENSMUST00000203235.1,0.0012875446,0.0309741605,-0.6520093641,-0.9406506762
Zfp784,ENSMUSG00000043290,ENSMUST00000062428.4,0.0006624466,0.0183630471,-0.6523493612,-0.9411411883
Dyrk1b,ENSMUSG00000002409,ENSMUST00000172467.7,2.32868827057821E-05,0.0012435242,-0.6525775759,-0.9414704325
Coq8a,ENSMUSG00000026489,ENSMUST00000160879.6,1.96269103377129E-05,0.0010841463,-0.6526672994,-0.9415998763
Msrb1,ENSMUSG00000075705,ENSMUST00000115262.7,0.0002406546,0.0082942055,-0.6531210031,-0.9422544323
Hfe2,ENSMUSG00000038403,ENSMUST00000049208.10,0.000000032,4.38885539882626E-06,-0.6532708315,-0.9424705889
Cavin1,ENSMUSG00000004044,ENSMUST00000132934.1,0.0008693722,0.0227311226,-0.6548157446,-0.9446994274
Alkbh7,ENSMUSG00000002661,ENSMUST00000002737.6,4.45823072337442E-05,0.0021372476,-0.6551989309,-0.9452522484
Inpp5j,ENSMUSG00000034570,ENSMUST00000044507.11,0.000306096,0.0099542559,-0.6557135371,-0.9459946682
Chd2,ENSMUSG00000078671,ENSMUST00000199809.4,1.35993146761151E-05,0.0007968988,-0.6558582418,-0.946203433
Atp2a1,ENSMUSG00000030730,ENSMUST00000032974.12,2.30619649502013E-06,0.0001752742,-0.6564132489,-0.947004139
Cmss1,ENSMUSG00000022748,ENSMUST00000114371.3,0.0003119513,0.0100823656,-0.6568411328,-0.947621445
Khdrbs3,ENSMUSG00000022332,ENSMUST00000230073.1,0.0010702627,0.0267481417,-0.6584311946,-0.9499154192
Plbd1,ENSMUSG00000030214,ENSMUST00000032336.6,0.000502356,0.0147840593,-0.659143417,-0.950942939
Epm2a,ENSMUSG00000055493,ENSMUST00000069106.4,4.65103841273748E-08,6.05354933262758E-06,-0.6598160212,-0.9519133016
Parp3,ENSMUSG00000023249,ENSMUST00000123555.7,1.94921581785171E-06,0.0001520704,-0.6608883537,-0.9534603504
Scrn2,ENSMUSG00000020877,ENSMUST00000021249.10,0.0008635638,0.0226127351,-0.661814992,-0.954797207
Ankrd46,ENSMUSG00000048307,ENSMUST00000228630.1,0.0007078419,0.0194282426,-0.66239951,-0.9556404881
Ndrg2,ENSMUSG00000004558,ENSMUST00000004673.14,2.00216328732517E-06,0.0001550594,-0.6628917763,-0.9563506784
Tnnc1,ENSMUSG00000091898,ENSMUST00000169169.7,0.0003057346,0.0099542559,-0.6629868277,-0.9564878086
